,Fe,C,Si,Mn,P,S,Alt,elasticite,traction,plasticite,resistance_chocs
1,98.05,0.12,0.38,1.43,0.017,0.003,0.024,415,525,24,186
2,98.05,0.12,0.38,1.43,0.017,0.003,0.024,445,530,25,181
3,98.05,0.12,0.38,1.43,0.017,0.003,0.024,405,530,24,228
4,98.066,0.11,0.38,1.42,0.017,0.007,0.024,455,550,23,187
5,98.066,0.11,0.38,1.42,0.017,0.007,0.024,425,545,23,174
6,98.066,0.11,0.38,1.42,0.017,0.007,0.024,455,550,23,187
7,98.066,0.11,0.38,1.42,0.017,0.007,0.024,460,555,24,189
8,98.016,0.12,0.4,1.44,0.019,0.005,0.027,445,535,24,106
9,98.016,0.12,0.4,1.44,0.019,0.005,0.027,430,520,24,109
10,98.016,0.12,0.4,1.44,0.019,0.005,0.027,450,555,25,165
11,98.016,0.12,0.4,1.44,0.019,0.005,0.027,460,560,23,186
12,98.09,0.1,0.39,1.4,0.015,0.005,0.024,430,530,26,188
13,98.09,0.1,0.39,1.4,0.015,0.005,0.024,420,520,22,230
14,98.09,0.1,0.39,1.4,0.015,0.005,0.024,410,525,23,218
15,98.09,0.1,0.39,1.4,0.015,0.005,0.024,425,525,24,216
16,98.057,0.1,0.4,1.42,0.017,0.006,0.026,450,545,23,225
17,98.057,0.1,0.4,1.42,0.017,0.006,0.026,425,530,24,217
18,98.057,0.1,0.4,1.42,0.017,0.006,0.026,450,545,23,225
19,98.068,0.12,0.36,1.43,0.018,0.004,0.024,450,545,24,155
20,98.068,0.12,0.36,1.43,0.018,0.004,0.024,460,545,25,204
21,98.068,0.12,0.36,1.43,0.018,0.004,0.024,420,540,26,150
22,98.068,0.12,0.36,1.43,0.018,0.004,0.024,465,540,23,174
23,98.068,0.12,0.36,1.43,0.018,0.004,0.024,395,535,24,189
24,98.067,0.11,0.35,1.45,0.018,0.005,0.026,430,520,24,199
25,98.067,0.11,0.35,1.45,0.018,0.005,0.026,430,520,24,230
26,98.067,0.11,0.35,1.45,0.018,0.005,0.026,435,520,24,222
27,98.073,0.1,0.38,1.42,0.02,0.007,0.022,405,525,23,222
28,98.073,0.1,0.38,1.42,0.02,0.007,0.022,415,515,24,225
29,98.073,0.1,0.38,1.42,0.02,0.007,0.022,420,525,26,178
30,98.073,0.1,0.38,1.42,0.02,0.007,0.022,420,520,23,261
31,98.082,0.12,0.35,1.43,0.015,0.003,0.028,430,545,24,168
32,98.082,0.12,0.35,1.43,0.015,0.003,0.028,430,545,24,168
33,98.082,0.12,0.35,1.43,0.015,0.003,0.028,405,540,23,164
34,98.067,0.11,0.4,1.4,0.017,0.006,0.022,405,540,26,86
35,98.067,0.11,0.4,1.4,0.017,0.006,0.022,410,545,25,93
36,98.067,0.11,0.4,1.4,0.017,0.006,0.022,410,525,22,88
37,98.067,0.11,0.4,1.4,0.017,0.006,0.022,415,530,22,57
38,98.098,0.1,0.37,1.41,0.019,0.003,0.021,405,535,24,152
39,98.098,0.1,0.37,1.41,0.019,0.003,0.021,410,545,25,103
40,98.098,0.1,0.37,1.41,0.019,0.003,0.021,370,540,25,111
41,98.061,0.12,0.4,1.4,0.015,0.004,0.023,415,535,25,87
42,98.061,0.12,0.4,1.4,0.015,0.004,0.023,415,530,35,159
43,98.061,0.12,0.4,1.4,0.015,0.004,0.023,415,520,25,152
44,98.059,0.12,0.35,1.45,0.016,0.005,0.022,410,530,23,81
45,98.061,0.12,0.4,1.4,0.015,0.004,0.023,390,515,24,152
46,98.059,0.12,0.35,1.45,0.016,0.005,0.022,405,520,24,106
47,98.051,0.1,0.4,1.43,0.015,0.004,0.023,385,510,26,115
48,98.051,0.1,0.4,1.43,0.015,0.004,0.023,385,515,25,135
49,98.067,0.11,0.4,1.4,0.017,0.006,0.022,395,525,24,157
50,98.051,0.1,0.4,1.43,0.015,0.004,0.023,395,515,24,174
51,98.051,0.1,0.4,1.43,0.015,0.004,0.023,400,520,21,183
52,98.098,0.1,0.37,1.41,0.019,0.003,0.021,400,535,26,110
53,98.067,0.11,0.4,1.4,0.017,0.006,0.022,400,525,25,165
54,98.082,0.12,0.35,1.43,0.015,0.003,0.028,375,520,25,208
55,98.098,0.1,0.37,1.41,0.019,0.003,0.028,415,525,26,208
56,98.061,0.12,0.4,1.4,0.015,0.004,0.023,420,535,25,207
57,97.991,0.12,0.38,1.49,0.015,0.004,0.029,490,605,24,112
58,98.058,0.11,0.37,1.44,0.016,0.006,0.021,385,515,25,160
59,98.068,0.1,0.35,1.46,0.015,0.007,0.023,380,480,27,120
60,98.135,0.1,0.32,1.42,0.016,0.009,0.027,380,490,26,133
61,98.081,0.11,0.34,1.45,0.016,0.003,0.02,411,533,24.5,153
62,98.068,0.1,0.35,1.46,0.017,0.005,0.028,340,535,25,152
63,98.068,0.1,0.35,1.46,0.017,0.005,0.028,421,534,25.5,136
64,98.068,0.1,0.35,1.46,0.017,0.005,0.028,418,534,24,151
65,98.119,0.1,0.35,1.41,0.015,0.006,0.026,425,536,23,93
66,98.119,0.1,0.35,1.41,0.015,0.006,0.026,388,526,26,104
67,98.119,0.1,0.35,1.41,0.015,0.006,0.026,410,527,23.5,152
68,98.068,0.1,0.35,1.46,0.017,0.005,0.028,420,530,21.5,88
69,98.109,0.1,0.34,1.43,0.018,0.003,0.03,403,530,23.5,86
70,97.997,0.1,0.4,1.48,0.018,0.005,0.03,419,515,24.5,102
71,98.057,0.11,0.34,1.47,0.018,0.005,0.026,430,540,24,210.6667
72,98.163,0.12,0.31,1.38,0.022,0.005,0.027,405,555,28,220
73,98.159,0.12,0.3,1.4,0.014,0.007,0.038,350,505,29,239
74,98.118,0.13,0.32,1.41,0.014,0.008,0.035,350,500,34,206.6667
75,98.142,0.12,0.28,1.43,0.019,0.009,0.026,345,500,30,189.6667
76,98.11,0.13,0.3,1.44,0.014,0.006,0.027,335,495,26,230.6667
77,98.263,0.12,0.3,1.3,0.012,0.005,0.023,365,515,29,114.3333
78,98.083,0.12,0.32,1.45,0.017,0.01,0.035,330,485,30,153
79,98.089,0.12,0.34,1.43,0.014,0.007,0.02,345,485,30,196
80,98.003,0.15,0.34,1.48,0.021,0.006,0.02,390,535,25,188
81,98.052,0.14,0.33,1.45,0.024,0.004,0.025,380,520,26,156.6667
82,98.126,0.16,0.33,1.36,0.02,0.004,0.033,400,565,25,125
83,98.127,0.08,0.37,1.4,0.015,0.008,0.022,405,505,32,150.6667
